id,category,title_en,title_ar,noon_english_url,noon_arabic_url,source_platform,status,notes
"ORDER-371011","mobile","Retail MagSafe Power Bank Set","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371012","mobile","Retail 65W GaN Fast Charger Kit","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371013","mobile","Retail Wireless Earbuds Retail Pack","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371014","mobile","Retail Privacy Screen Protector Bundle","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371015","mobile","Retail Magnetic Car Phone Mount","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371016","mobile","Retail USB-C Hub Adapter","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371017","mobile","Retail Smart Watch Strap Set","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371018","mobile","Retail Rugged Phone Case Bundle","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371019","mobile","Retail 3-in-1 Wireless Charging Stand","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371020","mobile","Retail Bluetooth Tracking Tag Pack","تجزئة - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371021","mobile","Pro MagSafe Power Bank Set","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371022","mobile","Pro 65W GaN Fast Charger Kit","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371023","mobile","Pro Wireless Earbuds Retail Pack","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371024","mobile","Pro Privacy Screen Protector Bundle","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371025","mobile","Pro Magnetic Car Phone Mount","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371026","mobile","Pro USB-C Hub Adapter","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371027","mobile","Pro Smart Watch Strap Set","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371028","mobile","Pro Rugged Phone Case Bundle","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371029","mobile","Pro 3-in-1 Wireless Charging Stand","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371030","mobile","Pro Bluetooth Tracking Tag Pack","احترافي - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371031","mobile","Compact MagSafe Power Bank Set","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371032","mobile","Compact 65W GaN Fast Charger Kit","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371033","mobile","Compact Wireless Earbuds Retail Pack","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371034","mobile","Compact Privacy Screen Protector Bundle","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371035","mobile","Compact Magnetic Car Phone Mount","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371036","mobile","Compact USB-C Hub Adapter","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371037","mobile","Compact Smart Watch Strap Set","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371038","mobile","Compact Rugged Phone Case Bundle","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371039","mobile","Compact 3-in-1 Wireless Charging Stand","مدمج - إكسسوارات الجوال","","","noon","pending",""
"ORDER-371040","mobile","Compact Bluetooth Tracking Tag Pack","مدمج - إكسسوارات الجوال","","","noon","pending",""
