id,category,title_en,amazon_asin,image_url,image_source,status,alt_text
"ORDER-371011","mobile","Retail MagSafe Power Bank Set","B0CH33F5P2","https://m.media-amazon.com/images/I/51YE7ShlnjL._AC_UL960_QL65_.jpg","search","ready","UGREEN Magsafe Power Bank 10000mAh PD 20W Magnetic Battery Pack Qi7.5W | Skin-Friendly, Qi certified, 20W wired, ergonomic..."
"ORDER-371012","mobile","Retail 65W GaN Fast Charger Kit","B0C3GTMX5M","https://m.media-amazon.com/images/I/51j4AkOzMtL._AC_UL960_QL65_.jpg","search","ready","UGREEN Power Bank 20000mAh 100W Laptop Fast Charging Portable Charger | 72Wh high-capacity, flight-safe, ultra-fast 100W c..."
"ORDER-371013","mobile","Retail Wireless Earbuds Retail Pack","B0F6NFHB31","https://m.media-amazon.com/images/I/51lIlT4yw1L._AC_SL1500_.jpg","detail","ready","Retail Wireless Earbuds Retail Pack"
"ORDER-371014","mobile","Retail Privacy Screen Protector Bundle","B0D7CG2PHM","https://m.media-amazon.com/images/I/61w9BqTUv4L._AC_UL960_QL65_.jpg","search","ready","UGREEN Uno Magnetic Power Bank,10000mAh Magsafe Mobile Phone Portable Charger, PD20W with Foldable Stand and TFT Display,W..."
"ORDER-371015","mobile","Retail Magnetic Car Phone Mount","B0CSSRD4NT","https://m.media-amazon.com/images/I/51D0jC2BHpL._AC_UL960_QL65_.jpg","search","ready","UGREEN Power Bank 20000mAh, PD 22.5W Portable Charger Fast Charging | flight-safe, high-capacity, PD 3.0 USB-C input & out..."
"ORDER-371016","mobile","Retail USB-C Hub Adapter","B0CXHM5RY2","https://m.media-amazon.com/images/I/51UDHs1Ht8L._AC_UL960_QL65_.jpg","search","ready","UGREEN Power Bank 25000mAh 200W USB C Fast Charging Portable Charger,Nexode | Flight-Approved, smart digital display, 200W..."
"ORDER-371017","mobile","Retail Smart Watch Strap Set","B0FHHNTC1J","https://m.media-amazon.com/images/I/51QutFTNZJL._AC_SL1500_.jpg","detail","ready","Retail Smart Watch Strap Set"
"ORDER-371018","mobile","Retail Rugged Phone Case Bundle","B0FQC2X8FD","https://m.media-amazon.com/images/I/61ZTwH-X79L._AC_UL960_QL65_.jpg","search","ready","UGREEN Mini Power Bank 10000mAh PD 30W/33W Fast Charging Portable Charger | Built-in USB-C cable, flight-safe, CCC certifi..."
"ORDER-371019","mobile","Retail 3-in-1 Wireless Charging Stand","B0CCS1KZZT","https://m.media-amazon.com/images/I/51OudC-UtML._AC_UL960_QL65_.jpg","search","ready","UGREEN Magsafe Power Bank 10000mAh Wireless Portable Charger Fast Charging | Skin-Friendly, ergonomic design, flight-safe,..."
"ORDER-371020","mobile","Retail Bluetooth Tracking Tag Pack","B0F37VLJQW","https://m.media-amazon.com/images/I/51zKduJVGGL._AC_UL960_QL65_.jpg","search","ready","UGREEN Power Bank MagSafe Qi2 25W 10000mAh, Built-in PD30W USB C Cable | Fastest 25W wireless charging, PD 30W wired, flig..."
"ORDER-371021","mobile","Pro MagSafe Power Bank Set","B0C5975H8M","https://m.media-amazon.com/images/I/81KSNd24I1L._AC_UL960_QL65_.jpg","search","ready","VEGER USB C Mini Power Bank 5000mAh Compatible with iPhone, Android | 20W PD/QC Fast Charging, Small Size, Support Direct ..."
"ORDER-371022","mobile","Pro 65W GaN Fast Charger Kit","B09DRMV91Y","https://m.media-amazon.com/images/I/71TlEuXcxzL._AC_UL960_QL65_.jpg","search","ready","VEGER 20000mAh Power Bank Compatible with iPhone, Samsung and Android | Fast Charging, 4 Output 2 Input, Built in Cables T..."
"ORDER-371023","mobile","Pro Wireless Earbuds Retail Pack","B0D8KH4LNB","https://m.media-amazon.com/images/I/51-qiWi6++L._AC_UL960_QL65_.jpg","search","ready","CUKTECH CP25 20000mAh 55W Fast Portable Charger with Built-In Cable | PD Battery Pack, Built-in USB-C Cable, Compatible wi..."
"ORDER-371024","mobile","Pro Privacy Screen Protector Bundle","B0DNQVVVJT","https://m.media-amazon.com/images/I/610u48Qn8hL._AC_UL960_QL65_.jpg","search","ready","CUKTECH 20 Power Bank, 25000mAh 210W Portable Charger for Laptop | Fast Charging Battery Pack, Smart Display, Compatible w..."
"ORDER-371025","mobile","Pro Magnetic Car Phone Mount","B0DM1RGZHD","https://m.media-amazon.com/images/I/614xAHrEblL._AC_SL1500_.jpg","detail","ready","Pro Magnetic Car Phone Mount"
