id,category,title_en,title_ar,amazon_asin,amazon_english_url,amazon_arabic_url,source_platform,status,collection_note
"ORDER-371011","mobile","Retail MagSafe Power Bank Set","تجزئة - إكسسوارات الجوال","B0CH33F5P2","https://www.amazon.ae/-/en/dp/B0CH33F5P2","https://www.amazon.ae/-/ar/dp/B0CH33F5P2","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371012","mobile","Retail 65W GaN Fast Charger Kit","تجزئة - إكسسوارات الجوال","B0C3GTMX5M","https://www.amazon.ae/-/en/dp/B0C3GTMX5M","https://www.amazon.ae/-/ar/dp/B0C3GTMX5M","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371013","mobile","Retail Wireless Earbuds Retail Pack","تجزئة - إكسسوارات الجوال","B0F6NFHB31","https://www.amazon.ae/-/en/dp/B0F6NFHB31","https://www.amazon.ae/-/ar/dp/B0F6NFHB31","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371014","mobile","Retail Privacy Screen Protector Bundle","تجزئة - إكسسوارات الجوال","B0D7CG2PHM","https://www.amazon.ae/-/en/dp/B0D7CG2PHM","https://www.amazon.ae/-/ar/dp/B0D7CG2PHM","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371015","mobile","Retail Magnetic Car Phone Mount","تجزئة - إكسسوارات الجوال","B0CSSRD4NT","https://www.amazon.ae/-/en/dp/B0CSSRD4NT","https://www.amazon.ae/-/ar/dp/B0CSSRD4NT","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371016","mobile","Retail USB-C Hub Adapter","تجزئة - إكسسوارات الجوال","B0CXHM5RY2","https://www.amazon.ae/-/en/dp/B0CXHM5RY2","https://www.amazon.ae/-/ar/dp/B0CXHM5RY2","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371017","mobile","Retail Smart Watch Strap Set","تجزئة - إكسسوارات الجوال","B0FHHNTC1J","https://www.amazon.ae/-/en/dp/B0FHHNTC1J","https://www.amazon.ae/-/ar/dp/B0FHHNTC1J","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371018","mobile","Retail Rugged Phone Case Bundle","تجزئة - إكسسوارات الجوال","B0FQC2X8FD","https://www.amazon.ae/-/en/dp/B0FQC2X8FD","https://www.amazon.ae/-/ar/dp/B0FQC2X8FD","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371019","mobile","Retail 3-in-1 Wireless Charging Stand","تجزئة - إكسسوارات الجوال","B0CCS1KZZT","https://www.amazon.ae/-/en/dp/B0CCS1KZZT","https://www.amazon.ae/-/ar/dp/B0CCS1KZZT","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371020","mobile","Retail Bluetooth Tracking Tag Pack","تجزئة - إكسسوارات الجوال","B0F37VLJQW","https://www.amazon.ae/-/en/dp/B0F37VLJQW","https://www.amazon.ae/-/ar/dp/B0F37VLJQW","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371021","mobile","Pro MagSafe Power Bank Set","احترافي - إكسسوارات الجوال","B0C5975H8M","https://www.amazon.ae/-/en/dp/B0C5975H8M","https://www.amazon.ae/-/ar/dp/B0C5975H8M","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371022","mobile","Pro 65W GaN Fast Charger Kit","احترافي - إكسسوارات الجوال","B09DRMV91Y","https://www.amazon.ae/-/en/dp/B09DRMV91Y","https://www.amazon.ae/-/ar/dp/B09DRMV91Y","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371023","mobile","Pro Wireless Earbuds Retail Pack","احترافي - إكسسوارات الجوال","B0D8KH4LNB","https://www.amazon.ae/-/en/dp/B0D8KH4LNB","https://www.amazon.ae/-/ar/dp/B0D8KH4LNB","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371024","mobile","Pro Privacy Screen Protector Bundle","احترافي - إكسسوارات الجوال","B0DNQVVVJT","https://www.amazon.ae/-/en/dp/B0DNQVVVJT","https://www.amazon.ae/-/ar/dp/B0DNQVVVJT","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371025","mobile","Pro Magnetic Car Phone Mount","احترافي - إكسسوارات الجوال","B0DM1RGZHD","https://www.amazon.ae/-/en/dp/B0DM1RGZHD","https://www.amazon.ae/-/ar/dp/B0DM1RGZHD","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371026","mobile","Pro USB-C Hub Adapter","احترافي - إكسسوارات الجوال","B0F8FB3ZB6","https://www.amazon.ae/-/en/dp/B0F8FB3ZB6","https://www.amazon.ae/-/ar/dp/B0F8FB3ZB6","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371027","mobile","Pro Smart Watch Strap Set","احترافي - إكسسوارات الجوال","B0F48HV99S","https://www.amazon.ae/-/en/dp/B0F48HV99S","https://www.amazon.ae/-/ar/dp/B0F48HV99S","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371028","mobile","Pro Rugged Phone Case Bundle","احترافي - إكسسوارات الجوال","B0DGGKSV1X","https://www.amazon.ae/-/en/dp/B0DGGKSV1X","https://www.amazon.ae/-/ar/dp/B0DGGKSV1X","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371029","mobile","Pro 3-in-1 Wireless Charging Stand","احترافي - إكسسوارات الجوال","B0DSZKKJTK","https://www.amazon.ae/-/en/dp/B0DSZKKJTK","https://www.amazon.ae/-/ar/dp/B0DSZKKJTK","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371030","mobile","Pro Bluetooth Tracking Tag Pack","احترافي - إكسسوارات الجوال","B0F37QGJHP","https://www.amazon.ae/-/en/dp/B0F37QGJHP","https://www.amazon.ae/-/ar/dp/B0F37QGJHP","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371031","mobile","Compact MagSafe Power Bank Set","مدمج - إكسسوارات الجوال","B0CXHRNVNW","https://www.amazon.ae/-/en/dp/B0CXHRNVNW","https://www.amazon.ae/-/ar/dp/B0CXHRNVNW","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371032","mobile","Compact 65W GaN Fast Charger Kit","مدمج - إكسسوارات الجوال","B0DQDBR8QQ","https://www.amazon.ae/-/en/dp/B0DQDBR8QQ","https://www.amazon.ae/-/ar/dp/B0DQDBR8QQ","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371033","mobile","Compact Wireless Earbuds Retail Pack","مدمج - إكسسوارات الجوال","B0C93TL5BX","https://www.amazon.ae/-/en/dp/B0C93TL5BX","https://www.amazon.ae/-/ar/dp/B0C93TL5BX","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371034","mobile","Compact Privacy Screen Protector Bundle","مدمج - إكسسوارات الجوال","B09RKFMM5F","https://www.amazon.ae/-/en/dp/B09RKFMM5F","https://www.amazon.ae/-/ar/dp/B09RKFMM5F","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371035","mobile","Compact Magnetic Car Phone Mount","مدمج - إكسسوارات الجوال","B09FVHB15T","https://www.amazon.ae/-/en/dp/B09FVHB15T","https://www.amazon.ae/-/ar/dp/B09FVHB15T","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371036","mobile","Compact USB-C Hub Adapter","مدمج - إكسسوارات الجوال","B0DN26GV6P","https://www.amazon.ae/-/en/dp/B0DN26GV6P","https://www.amazon.ae/-/ar/dp/B0DN26GV6P","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371037","mobile","Compact Smart Watch Strap Set","مدمج - إكسسوارات الجوال","B0G5F48M35","https://www.amazon.ae/-/en/dp/B0G5F48M35","https://www.amazon.ae/-/ar/dp/B0G5F48M35","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371038","mobile","Compact Rugged Phone Case Bundle","مدمج - إكسسوارات الجوال","B0GJ3K11MK","https://www.amazon.ae/-/en/dp/B0GJ3K11MK","https://www.amazon.ae/-/ar/dp/B0GJ3K11MK","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371039","mobile","Compact 3-in-1 Wireless Charging Stand","مدمج - إكسسوارات الجوال","B08M3NF5KW","https://www.amazon.ae/-/en/dp/B08M3NF5KW","https://www.amazon.ae/-/ar/dp/B08M3NF5KW","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371040","mobile","Compact Bluetooth Tracking Tag Pack","مدمج - إكسسوارات الجوال","B08861XCML","https://www.amazon.ae/-/en/dp/B08861XCML","https://www.amazon.ae/-/ar/dp/B08861XCML","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371041","mobile","Premium MagSafe Power Bank Set","فاخر - إكسسوارات الجوال","B0F48YTC8V","https://www.amazon.ae/-/en/dp/B0F48YTC8V","https://www.amazon.ae/-/ar/dp/B0F48YTC8V","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371042","mobile","Premium 65W GaN Fast Charger Kit","فاخر - إكسسوارات الجوال","B0BYNYBTYK","https://www.amazon.ae/-/en/dp/B0BYNYBTYK","https://www.amazon.ae/-/ar/dp/B0BYNYBTYK","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
"ORDER-371043","mobile","Premium Wireless Earbuds Retail Pack","فاخر - إكسسوارات الجوال","B0F6LGCRFW","https://www.amazon.ae/-/en/dp/B0F6LGCRFW","https://www.amazon.ae/-/ar/dp/B0F6LGCRFW","amazon.ae","ready","Amazon.ae popularity-rank query: power bank"
