id,category,title_en,amazon_aed,amazon_usd,source,c_supply,b_supply,a_supply,amazon_en_url,amazon_ar_url
ORDER-371011,mobile,"Retail MagSafe Power Bank Set",99,27,search,$9,$7,$5,,
ORDER-371012,mobile,"Retail 65W GaN Fast Charger Kit",176.04,48,search,$16,$12,$10,,
ORDER-371013,mobile,"Retail Wireless Earbuds Retail Pack",158.98,43,detail,$14,$11,$9,,
ORDER-371014,mobile,"Retail Privacy Screen Protector Bundle",118.99,32,search,$11,$8,$6,,
ORDER-371015,mobile,"Retail Magnetic Car Phone Mount",108.95,30,search,$10,$8,$6,,
ORDER-371016,mobile,"Retail USB-C Hub Adapter",288.89,79,detail,$26,$20,$16,,
ORDER-371017,mobile,"Retail Smart Watch Strap Set",179,49,search,$16,$12,$10,,
ORDER-371018,mobile,"Retail Rugged Phone Case Bundle",118.99,32,search,$11,$8,$6,,
ORDER-371019,mobile,"Retail 3-in-1 Wireless Charging Stand",99,27,search,$9,$7,$5,,
ORDER-371020,mobile,"Retail Bluetooth Tracking Tag Pack",219,60,search,$20,$15,$12,,
ORDER-371021,mobile,"Pro MagSafe Power Bank Set",41,11,search,$4,$3,$2,,
ORDER-371022,mobile,"Pro 65W GaN Fast Charger Kit",74.99,20,detail,$7,$5,$4,,
ORDER-371023,mobile,"Pro Wireless Earbuds Retail Pack",134.99,37,search,$12,$9,$7,,
ORDER-371024,mobile,"Pro Privacy Screen Protector Bundle",300.14,82,search,$27,$21,$16,,
ORDER-371025,mobile,"Pro Magnetic Car Phone Mount",231.34,63,search,$21,$16,$13,,
ORDER-371026,mobile,"Pro USB-C Hub Adapter",121.5,33,search,$11,$8,$7,,
ORDER-371027,mobile,"Pro Smart Watch Strap Set",158.98,43,search,$14,$11,$9,,
ORDER-371028,mobile,"Pro Rugged Phone Case Bundle",118.99,32.4,category-median,$11,$8,$6,,
ORDER-371029,mobile,"Pro 3-in-1 Wireless Charging Stand",168.9,46,detail,$15,$12,$9,,
ORDER-371030,mobile,"Pro Bluetooth Tracking Tag Pack",218.95,60,search,$20,$15,$12,,
ORDER-371031,mobile,"Compact MagSafe Power Bank Set",87.37,24,search,$8,$6,$5,,
ORDER-371032,mobile,"Compact 65W GaN Fast Charger Kit",78.99,22,detail,$7,$6,$4,,
ORDER-371033,mobile,"Compact Wireless Earbuds Retail Pack",169,46,search,$15,$12,$9,,
ORDER-371034,mobile,"Compact Privacy Screen Protector Bundle",158.83,43,search,$14,$11,$9,,
ORDER-371035,mobile,"Compact Magnetic Car Phone Mount",35,10,search,$3,$3,$2,,
ORDER-371036,mobile,"Compact USB-C Hub Adapter",87,24,search,$8,$6,$5,,
ORDER-371037,mobile,"Compact Smart Watch Strap Set",85,23,search,$8,$6,$5,,
ORDER-371038,mobile,"Compact Rugged Phone Case Bundle",109.99,30,detail,$10,$8,$6,,
ORDER-371039,mobile,"Compact 3-in-1 Wireless Charging Stand",35.99,10,search,$3,$3,$2,,
ORDER-371040,mobile,"Compact Bluetooth Tracking Tag Pack",69.95,19,search,$6,$5,$4,,
ORDER-371041,mobile,"Premium MagSafe Power Bank Set",59,16,search,$5,$4,$3,,
ORDER-371042,mobile,"Premium 65W GaN Fast Charger Kit",102,28,search,$9,$7,$6,,
ORDER-371043,mobile,"Premium Wireless Earbuds Retail Pack",134.99,37,detail,$12,$9,$7,,
ORDER-371044,mobile,"Premium Privacy Screen Protector Bundle",119,32,search,$11,$8,$6,,
ORDER-371045,mobile,"Premium Magnetic Car Phone Mount",89,24,detail,$8,$6,$5,,
ORDER-371046,mobile,"Premium USB-C Hub Adapter",89.97,24,search,$8,$6,$5,,
ORDER-371047,mobile,"Premium Smart Watch Strap Set",89.79,24,detail,$8,$6,$5,,
ORDER-371048,mobile,"Premium Rugged Phone Case Bundle",85,23,search,$8,$6,$5,,
ORDER-371049,mobile,"Premium 3-in-1 Wireless Charging Stand",1157,315,search,$105,$79,$63,,
ORDER-371050,mobile,"Premium Bluetooth Tracking Tag Pack",319,87,detail,$29,$22,$17,,
ORDER-371051,mobile,"Travel MagSafe Power Bank Set",171.14,47,search,$16,$12,$9,,
ORDER-371052,mobile,"Travel 65W GaN Fast Charger Kit",499,136,detail,$45,$34,$27,,
ORDER-371053,mobile,"Travel Wireless Earbuds Retail Pack",129,35,detail,$12,$9,$7,,
ORDER-371054,mobile,"Travel Privacy Screen Protector Bundle",49,13,search,$4,$3,$3,,
ORDER-371055,mobile,"Travel Magnetic Car Phone Mount",171.14,47,search,$16,$12,$9,,
ORDER-371056,mobile,"Travel USB-C Hub Adapter",49,13,search,$4,$3,$3,,
ORDER-371057,mobile,"Travel Smart Watch Strap Set",68.98,19,search,$6,$5,$4,,
ORDER-371058,mobile,"Travel Rugged Phone Case Bundle",69,19,search,$6,$5,$4,,
ORDER-371059,mobile,"Travel 3-in-1 Wireless Charging Stand",231.34,63,detail,$21,$16,$13,,
ORDER-371060,mobile,"Travel Bluetooth Tracking Tag Pack",79.99,22,detail,$7,$6,$4,,
ORDER-371061,fashion,"Retail Premium Modest Wear Set",52,14,search,$5,$4,$3,,
ORDER-371062,fashion,"Retail Breathable Abaya Collection",88,24,search,$8,$6,$5,,
ORDER-371063,fashion,"Retail Men's Business Thobe Pack",188,51,search,$17,$13,$10,,
ORDER-371064,fashion,"Retail Luxury Hijab Bundle",99,27,search,$9,$7,$5,,
ORDER-371065,fashion,"Retail Kaftan Lounge Set",35,10,search,$3,$3,$2,,
ORDER-371066,fashion,"Retail Modest Activewear Set",188,51,search,$17,$13,$10,,
ORDER-371067,fashion,"Retail Family Eid Outfit Pack",202,55,search,$18,$14,$11,,
