"id","category","title_en","title_ar","title_zh","desc_en","desc_ar","desc_zh","retail","c_supply","b_supply","a_supply","main_image","detail_01","detail_02","detail_03","detail_04"
"ORDER-371011","mobile","Mobile resale product 1","منتج إكسسوارات الهاتف 1","手机配件商品 1","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371011/main.webp","assets/products/mobile/ORDER-371011/detail-01.webp","assets/products/mobile/ORDER-371011/detail-02.webp","assets/products/mobile/ORDER-371011/detail-03.webp","assets/products/mobile/ORDER-371011/detail-04.webp"
"ORDER-371012","mobile","Mobile resale product 2","منتج إكسسوارات الهاتف 2","手机配件商品 2","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371012/main.webp","assets/products/mobile/ORDER-371012/detail-01.webp","assets/products/mobile/ORDER-371012/detail-02.webp","assets/products/mobile/ORDER-371012/detail-03.webp","assets/products/mobile/ORDER-371012/detail-04.webp"
"ORDER-371013","mobile","Mobile resale product 3","منتج إكسسوارات الهاتف 3","手机配件商品 3","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371013/main.webp","assets/products/mobile/ORDER-371013/detail-01.webp","assets/products/mobile/ORDER-371013/detail-02.webp","assets/products/mobile/ORDER-371013/detail-03.webp","assets/products/mobile/ORDER-371013/detail-04.webp"
"ORDER-371014","mobile","Mobile resale product 4","منتج إكسسوارات الهاتف 4","手机配件商品 4","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371014/main.webp","assets/products/mobile/ORDER-371014/detail-01.webp","assets/products/mobile/ORDER-371014/detail-02.webp","assets/products/mobile/ORDER-371014/detail-03.webp","assets/products/mobile/ORDER-371014/detail-04.webp"
"ORDER-371015","mobile","Mobile resale product 5","منتج إكسسوارات الهاتف 5","手机配件商品 5","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371015/main.webp","assets/products/mobile/ORDER-371015/detail-01.webp","assets/products/mobile/ORDER-371015/detail-02.webp","assets/products/mobile/ORDER-371015/detail-03.webp","assets/products/mobile/ORDER-371015/detail-04.webp"
"ORDER-371016","mobile","Mobile resale product 6","منتج إكسسوارات الهاتف 6","手机配件商品 6","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371016/main.webp","assets/products/mobile/ORDER-371016/detail-01.webp","assets/products/mobile/ORDER-371016/detail-02.webp","assets/products/mobile/ORDER-371016/detail-03.webp","assets/products/mobile/ORDER-371016/detail-04.webp"
"ORDER-371017","mobile","Mobile resale product 7","منتج إكسسوارات الهاتف 7","手机配件商品 7","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371017/main.webp","assets/products/mobile/ORDER-371017/detail-01.webp","assets/products/mobile/ORDER-371017/detail-02.webp","assets/products/mobile/ORDER-371017/detail-03.webp","assets/products/mobile/ORDER-371017/detail-04.webp"
"ORDER-371018","mobile","Mobile resale product 8","منتج إكسسوارات الهاتف 8","手机配件商品 8","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371018/main.webp","assets/products/mobile/ORDER-371018/detail-01.webp","assets/products/mobile/ORDER-371018/detail-02.webp","assets/products/mobile/ORDER-371018/detail-03.webp","assets/products/mobile/ORDER-371018/detail-04.webp"
"ORDER-371019","mobile","Mobile resale product 9","منتج إكسسوارات الهاتف 9","手机配件商品 9","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371019/main.webp","assets/products/mobile/ORDER-371019/detail-01.webp","assets/products/mobile/ORDER-371019/detail-02.webp","assets/products/mobile/ORDER-371019/detail-03.webp","assets/products/mobile/ORDER-371019/detail-04.webp"
"ORDER-371020","mobile","Mobile resale product 10","منتج إكسسوارات الهاتف 10","手机配件商品 10","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371020/main.webp","assets/products/mobile/ORDER-371020/detail-01.webp","assets/products/mobile/ORDER-371020/detail-02.webp","assets/products/mobile/ORDER-371020/detail-03.webp","assets/products/mobile/ORDER-371020/detail-04.webp"
"ORDER-371021","mobile","Mobile resale product 11","منتج إكسسوارات الهاتف 11","手机配件商品 11","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371021/main.webp","assets/products/mobile/ORDER-371021/detail-01.webp","assets/products/mobile/ORDER-371021/detail-02.webp","assets/products/mobile/ORDER-371021/detail-03.webp","assets/products/mobile/ORDER-371021/detail-04.webp"
"ORDER-371022","mobile","Mobile resale product 12","منتج إكسسوارات الهاتف 12","手机配件商品 12","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371022/main.webp","assets/products/mobile/ORDER-371022/detail-01.webp","assets/products/mobile/ORDER-371022/detail-02.webp","assets/products/mobile/ORDER-371022/detail-03.webp","assets/products/mobile/ORDER-371022/detail-04.webp"
"ORDER-371023","mobile","Mobile resale product 13","منتج إكسسوارات الهاتف 13","手机配件商品 13","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371023/main.webp","assets/products/mobile/ORDER-371023/detail-01.webp","assets/products/mobile/ORDER-371023/detail-02.webp","assets/products/mobile/ORDER-371023/detail-03.webp","assets/products/mobile/ORDER-371023/detail-04.webp"
"ORDER-371024","mobile","Mobile resale product 14","منتج إكسسوارات الهاتف 14","手机配件商品 14","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371024/main.webp","assets/products/mobile/ORDER-371024/detail-01.webp","assets/products/mobile/ORDER-371024/detail-02.webp","assets/products/mobile/ORDER-371024/detail-03.webp","assets/products/mobile/ORDER-371024/detail-04.webp"
"ORDER-371025","mobile","Mobile resale product 15","منتج إكسسوارات الهاتف 15","手机配件商品 15","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371025/main.webp","assets/products/mobile/ORDER-371025/detail-01.webp","assets/products/mobile/ORDER-371025/detail-02.webp","assets/products/mobile/ORDER-371025/detail-03.webp","assets/products/mobile/ORDER-371025/detail-04.webp"
"ORDER-371026","mobile","Mobile resale product 16","منتج إكسسوارات الهاتف 16","手机配件商品 16","Replace this with polished product copy based on the selected Gulf-market bestseller.","استبدل هذا النص بوصف احترافي للمنتج المناسب لسوق الخليج.","替换为适合海湾市场爆品的正式商品描述。","$99-$199","$75","$65","$55","assets/products/mobile/ORDER-371026/main.webp","assets/products/mobile/ORDER-371026/detail-01.webp","assets/products/mobile/ORDER-371026/detail-02.webp","assets/products/mobile/ORDER-371026/detail-03.webp","assets/products/mobile/ORDER-371026/detail-04.webp"
